current,previous1,previous2,previous3,previous4,previous5
AirTC_Avg,t_hmp_mean,,,,
RH_Avg,rh_hmp,,,,
co2_mean_Avg,co2_mean,,,,
co2_um_m_Avg,co2_u_mol_Avg,,,,
stdev_co2,cov_co2_co2,,,,
stdev_h2o,cov_h2o_h2o,,,,
stdev_Ts,cov_Ts_Ts,,,,
cov_co2_Ux,cov_Ux_co2,,,,
cov_h2o_Ux,cov_Ux_h2o,,,,
cov_Ts_Ux,cov_Ux_Ts,,,,
stdev_Ux,cov_Ux_Ux,,,,
cov_Ux_Uy,cov_Uy_Ux,,,,
cov_co2_Uy,cov_Uy_co2,,,,
cov_h2o_Uy,cov_Uy_h2o,,,,
cov_Ts_Uy,cov_Uy_Ts,,,,
stdev_Uy,cov_Uy_Uy,,,,
cov_co2_Uz,cov_Uz_co2,,,,
cov_h2o_Uz,cov_Uz_h2o,,,,
cov_Ts_Uz,cov_Uz_Ts,,,,
cov_Ux_Uz,cov_Uz_Ux,,,,
cov_Uy_Uz,cov_Uz_Uy,,,,
stdev_Uz,cov_Uz_Uz,,,,
e_hmp_mean_Avg,e_Avg,,,,
h2o_mean_Avg,h2o_Avg,,,,
h2o_hmp_mean_Avg,h2o_hmp_mean,,,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,,,
Hc,,,,,
Hs,,,,,
par_face_down_Avg,par_facedown_Avg,,,,
par_face_up_Avg,par_face_upAvg,par_Avg,,,
Rad_long_Dn__Avg,Rad_long_Dn_Avg,,,,
Rad_long_Up__Avg,Rad_long_Up_Avg,,,,
rho_a_mean_Avg,rho_a_mean,,,,
sig_lck_f_Tot,track_f_Tot,,,,
low12V_3000_Tot,low12V,,,,
CNR1TC_Avg,,,,,
panelT_5000_in_Avg,panel_temp_Avg,panelT_3000_Avg,panelT_3000_in_Avg,,
SWC_G1_2p5_Avg,swc_grass1_2p5cm_Avg,cs616_wcr_2_1,cs616_wcr_4,,
SWC_G1_12p5_Avg,swc_grass1_12p5cm_Avg,cs616_wcr_2_2,cs616_wcr_5,,
SWC_G1_22p5_Avg,swc_grass1_22p5cm_Avg,cs616_wcr_2_3,cs616_wcr_6,,
SWC_G1_37p5_Avg,swc_grass1_37p5cm_Avg,,,,
SWC_G1_52p5_Avg,swc_grass1_52p5cm_Avg,,,,
SWC_G2_2p5_Avg,swc_grass2_2p5cm_Avg,cs616_wcr_4_1,cs616_wcr_10,,
SWC_G2_12p5_Avg,swc_grass2_12p5cm_Avg,cs616_wcr_4_2,cs616_wcr_11,,
SWC_G2_22p5_Avg,swc_grass2_22p5cm_Avg,cs616_wcr_4_3,cs616_wcr_12,,
SWC_G2_37p5_Avg,swc_grass2_37p5cm_Avg,,,,
SWC_G2_52p5_Avg,swc_grass2_52p5cm_Avg,,,,
SWC_G3_2p5_Avg,,cs616_wcr_6_3,cs616_wcr_18,,
SWC_G3_12p5_Avg,,cs616_wcr_7_1,cs616_wcr_19,,
SWC_G3_22p5_Avg,,cs616_wcr_7_2,cs616_wcr_20,,
SWC_G3_37p5_Avg,,cs616_wcr_7_3,cs616_wcr_21,,
SWC_G3_52p5_Avg,,cs616_wcr_8_1,cs616_wcr_22,,
SWC_O1_2p5_Avg,swc_open1_2p5cm_Avg,cs616_wcr_1_1,cs616_wcr_1,,
SWC_O1_12p5_Avg,swc_open1_12p5cm_Avg,cs616_wcr_1_2,cs616_wcr_2,,
SWC_O1_22p5_Avg,swc_open1_22p5cm_Avg,cs616_wcr_1_3,cs616_wcr_3,,
SWC_O1_37p5_Avg,swc_open1_37p5cm_Avg,,,,
SWC_O1_52p5_Avg,swc_open1_52p5cm_Avg,,,,
SWC_O2_2p5_Avg,swc_open2_2p5cm_Avg,cs616_wcr_3_1,cs616_wcr_7,,
SWC_O2_12p5_Avg,swc_open2_12p5cm_Avg,cs616_wcr_3_2,cs616_wcr_8,,
SWC_O2_22p5_Avg,swc_open2_22p5cm_Avg,cs616_wcr_3_3,cs616_wcr_9,,
SWC_O2_37p5_Avg,swc_open2_37p5cm_Avg,,,,
SWC_O2_52p5_Avg,swc_open2_52p5cm_Avg,,,,
SWC_O3_2p5_Avg,,cs616_wcr_5_1,cs616_wcr_13,,
SWC_O3_12p5_Avg,,cs616_wcr_5_2,cs616_wcr_14,,
SWC_O3_22p5_Avg,,cs616_wcr_5_3,cs616_wcr_15,,
SWC_O3_37p5_Avg,,cs616_wcr_6_1,cs616_wcr_17,SoilT_O337p5_Avg,
SWC_O3_52p5_Avg,,cs616_wcr_6_2,cs616_wcr_16,,
cs616_unlabeled,,,cs616_wcr_23,,
SWC_echo_G1_2p5_Avg,echo_grass1_2p5cm_Avg,grass1_2p5cm,,,
SWC_echo_G1_12p5_Avg,echo_grass1_12p5cm_Avg,grass1_12p5cm,,,
SWC_echo_G1_22p5_Avg,echo_grass1_22p5cm_Avg,grass1_22p5cm,,,
SWC_echo_G1_37p5_Avg,echo_grass1_37p5cm_Avg,grass1_37p5cm,,,
SWC_echo_G1_52p5_Avg,echo_grass1_52p5cm_Avg,grass1_52p5cm,,,
SWC_echo_G2_2p5_Avg,echo_grass2_2p5cm_Avg,grass2_2p5cm,,,
SWC_echo_G2_12p5_Avg,echo_grass2_12p5cm_Avg,grass2_12p5cm,,,
SWC_echo_G2_22p5_Avg,echo_grass2_22p5cm_Avg,grass2_22p5cm,,,
SWC_echo_G2_37p5_Avg,echo_grass2_37p5cm_Avg,grass2_37p5cm,,,
SWC_echo_G2_52p5_Avg,echo_grass2_52p5cm_Avg,grass2_52p5cm,,,
SWC_echo_O1_2p5_Avg,,open1_2p5cm,,,
SWC_echo_O1_12p5_Avg,,open1_12p5cm,,,
SWC_echo_O1_22p5_Avg,,open1_22p5cm,,,
SWC_echo_O1_37p5_Avg,,open1_37p5cm,,,
SWC_echo_O1_52p5_Avg,,open1_52p5cm,,,
SWC_echo_O2_2p5_Avg,,open2_2p5cm,,,
