current,TOA5_GLand_2007_06_05_1700,TOA5_GLand_2007_11_27_1200,TOA5_GLand_2009_02_20_1530,TOA5_GLand_2009_03_05_1100,TOA5_GLand_2009_07_29_0700,TOA5_GLand_2010_05_12_1900,TOA5_GLand_2011_06_09_1630,TOA5_GLand_2011_07_27_0800,TOA5_GLand_2012_12_13_1200,TOA5_GLand_2013_12_19_1500,TOA5_GLand_2014_01_17_1730,TOA5_GLand_2014_02_17_1000,TOA5_GLand_2014_03_04_1430,TOA5_GLand_2014_05_08_1130,TOA5_GLand_2014_06_13_0830,TOA5_GLand_2014_07_11_1000,TOA5_GLand_2014_07_18_1200
AirTC_Avg,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,current,current,current,current,current,current,current
RH_Avg,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,current,current,current,current,current,current,current
co2_mean_Avg,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,current,current,current,current,current,current,current
co2_um_m_Avg,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
stdev_co2,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
stdev_h2o,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
stdev_Ts,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_co2_Ux,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_h2o_Ux,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_Ts_Ux,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
stdev_Ux,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_Ux_Uy,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_co2_Uy,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_h2o_Uy,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_Ts_Uy,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
stdev_Uy,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_co2_Uz,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_h2o_Uz,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_Ts_Uz,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_Ux_Uz,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
cov_Uy_Uz,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
stdev_Uz,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
e_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
h2o_mean_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,current,current,current,current,current,current,current
h2o_hmp_mean_Avg,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,h2o_hmp_mean,current,current,current,current,current,current,current
h2o_mm_m_Avg,current,current,current,current,current,current,current,current,h2o_m_mol_Avg,current,current,current,current,current,current,current,current
Hc,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
Hs,current,current,current,current,current,current,current,current,current,current,dne,dne,dne,dne,dne,dne,dne
par_face_down_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current,current,current,par_facedown_Avg,current
par_face_up_Avg,par_Avg,par_Avg,par_Avg,par_Avg,par_Avg,par_Avg,current,current,current,current,current,current,current,current,current,dne,current
Rad_long_Dn__Avg,current,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,current,current,current,current,current,current,current
Rad_long_Up__Avg,current,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,current,current,current,current,current,current,current
rho_a_mean_Avg,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,current,current,current,current,current,current,current
sig_lck_f_Tot,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
low12V_3000_Tot,low12V,low12V,low12V,low12V,low12V,low12V,low12V,low12V,low12V,low12V,current,current,current,current,current,dne,current
CNR1TC_Avg,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
panelT_5000_in_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panel_temp_Avg,panelT_3000_in_Avg,panelT_3000_Avg,panelT_3000_Avg,panelT_3000_Avg,panelT_3000_Avg,current,panelT_3000_Avg
