af_mapping,qc_mapping,desc,current,TOA5_JSav_cr1000_2012_05_02_1130,TOA5_JSav_cr1000_2014_01_17_1600
NaN,,NaN,AirTC_10_Avg,dne,dne
NaN,,NaN,AirTC_3p7_Avg,dne,dne
NaN,,NaN,RH_10_Avg,dne,dne
NaN,,NaN,RH_3p7_Avg,dne,dne
NaN,,NaN,co2_mean_Avg,dne,dne
NaN,,NaN,co2_um_m_Avg,dne,dne
NaN,,NaN,stdev_co2,dne,dne
NaN,,NaN,stdev_h2o,dne,dne
NaN,,NaN,stdev_Ts,dne,dne
NaN,,NaN,cov_co2_Ux,dne,dne
NaN,,NaN,cov_h2o_Ux,dne,dne
NaN,,NaN,cov_Ts_Ux,dne,dne
NaN,,NaN,stdev_Ux,dne,dne
NaN,,NaN,cov_co2_Uy,dne,dne
NaN,,NaN,cov_h2o_Uy,dne,dne
NaN,,NaN,cov_Ts_Uy,dne,dne
NaN,,NaN,stdev_Uy,dne,dne
NaN,,NaN,cov_co2_Uz,dne,dne
NaN,,NaN,cov_h2o_Uz,dne,dne
NaN,,NaN,cov_Ts_Uz,dne,dne
NaN,,NaN,cov_Ux_Uz,dne,dne
NaN,,NaN,cov_Uy_Uz,dne,dne
NaN,,NaN,stdev_Uz,dne,dne
NaN,,NaN,e_hmp_mean_Avg,dne,dne
NaN,,NaN,h2o_mean_Avg,dne,dne
NaN,,NaN,h2o_hmp_mean_Avg,dne,dne
NaN,,NaN,h2o_mm_m_Avg,dne,dne
NaN,,NaN,Hc,dne,dne
NaN,,NaN,Hs,dne,dne
NaN,,NaN,par_facedown_Avg,dne,dne
NaN,,NaN,par_faceup_Avg,dne,dne
NaN,,NaN,rho_a_mean_Avg,dne,dne
NaN,,NaN,sig_lck_f_Tot,dne,dne
NaN,,NaN,low12V_5000_Tot,dne,dne
NaN,,NaN,panelT_5000_in_Avg,dne,dne
NaN,,NaN,CNR1TC_Avg,dne,dne
NaN,SWC_O1_5_AVG,NaN,SWC_O1_5_Avg,dne,SWC_O1_2p5
NaN,SWC_O1_10_AVG,NaN,SWC_O1_10_Avg,dne,SWC_O1_12p5
NaN,SWC_O1_20_AVG,NaN,SWC_O1_20_Avg,dne,dne
NaN,SWC_O1_30_AVG,NaN,SWC_O1_30_Avg,dne,SWC_O1_32p5
NaN,SWC_O1_40_AVG,NaN,SWC_O1_40_Avg,dne,dne
NaN,SWC_O2_5_AVG,NaN,SWC_O2_5_Avg,dne,SWC_O2_2p5
NaN,SWC_O2_10_AVG,NaN,SWC_O2_10_Avg,dne,SWC_O2_12p5
NaN,SWC_O2_20_AVG,NaN,SWC_O2_20_Avg,dne,dne
NaN,SWC_O2_30_AVG,NaN,SWC_O2_30_Avg,dne,SWC_O2_32p5
NaN,SWC_O2_40_AVG,NaN,SWC_O2_40_Avg,dne,dne
NaN,SWC_E1_5_AVG,NaN,SWC_E1_5_Avg,dne,dne
NaN,SWC_E1_10_AVG,NaN,SWC_E1_10_Avg,dne,dne
NaN,SWC_E1_20_AVG,NaN,SWC_E1_20_Avg,dne,dne
NaN,SWC_E1_30_AVG,NaN,SWC_E1_30_Avg,dne,dne
NaN,SWC_E1_40_AVG,NaN,SWC_E1_40_Avg,dne,dne
NaN,SWC_J1_5_AVG,NaN,SWC_J1_5_Avg,dne,SWC_J1_2p5
NaN,SWC_J1_10_AVG,NaN,SWC_J1_10_Avg,dne,SWC_J1_12p5
NaN,SWC_J1_20_AVG,NaN,SWC_J1_20_Avg,dne,dne
NaN,SWC_J1_30_AVG,NaN,SWC_J1_30_Avg,dne,SWC_J1_32p5
NaN,SWC_J1_40_AVG,NaN,SWC_J1_40_Avg,dne,dne
