af_mapping,qc_mapping,desc,current,TOA5_MCon_2006_08_31_1000,TOA5_MCon_2006_12_04_1930,TOA5_MCon_2007_06_07_1930,TOA5_MCon_2008_03_23_1400,TOA5_MCon_2008_07_08_1330,TOA5_MCon_2010_06_18_1600,TOA5_MCon_2013_11_12_1830,TOA5_MCon_2014_01_09_1600,TOA5_MCon_2014_01_14_1600,TOA5_MCon_2014_02_18_1800,TOA5_MCon_2014_03_20_1230,TOA5_MCon_2014_06_20_1130,TOA5_MCon_2016_04_06_1200
NaN,,NaN,AirTC_1p5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,AirTC_4p5_Avg,dne,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,current,current,current,current,current,current,current
NaN,,NaN,AirTC_8p75_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,AirTC_16_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,AirTC_24_Avg,dne,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,current,current,current,current,current,current,current
NaN,,NaN,RH_1p5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,RH_4p5_Avg,dne,RH,RH,RH,RH,RH,current,current,current,current,current,current,current
NaN,,NaN,RH_8p75_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,RH_16_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,RH_24_Avg,dne,RH_2,RH_2,RH_2,RH_2,RH_2,current,current,current,current,current,current,current
NaN,,NaN,co2_mean_Avg,dne,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,current,current,current,current,current,current
NaN,,NaN,co2_um_m_Avg,dne,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,current,current,current,current,current,current
NaN,,NaN,stdev_Ts,dne,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current,current,current,current,current
NaN,,NaN,stdev_Ux,dne,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current,current,current,current,current
NaN,,NaN,stdev_Uy,dne,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current,current,current,current,current
NaN,,NaN,stdev_Uz,dne,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,current,current,current,current,current,current
NaN,,NaN,stdev_co2,dne,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,current,current,current,current,current,current
NaN,,NaN,stdev_h2o,dne,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,current,current,current,current,current,current
NaN,,NaN,cov_Ts_Ux,dne,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,current,current,current,current,current,current
NaN,,NaN,cov_Ts_Uy,dne,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,current,current,current,current,current,current
NaN,,NaN,cov_Ts_Uz,dne,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,current,current,current,current,current,current
NaN,,NaN,cov_Ux_Uz,dne,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,current,current,current,current,current,current
NaN,,NaN,cov_Uy_Uz,dne,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,current,current,current,current,current,current
NaN,,NaN,cov_co2_Ux,dne,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,current,current,current,current,current,current
NaN,,NaN,cov_co2_Uy,dne,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,current,current,current,current,current,current
NaN,,NaN,cov_co2_Uz,dne,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,current,current,current,current,current,current
NaN,,NaN,cov_h2o_Ux,dne,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,current,current,current,current,current,current
NaN,,NaN,cov_h2o_Uy,dne,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,current,current,current,current,current,current
NaN,,NaN,cov_h2o_Uz,dne,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,current,current,current,current,current,current
NaN,,NaN,e_hmp_mean_Avg,dne,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,current,current,current,current,current,current
