current,previous1,previous2,previous3
AirTC_10_Avg,AirTC_Avg,,
AirTC_3p7_Avg,AirTC_2_Avg,,
RH_10_Avg,RH,,
RH_3p7_Avg,RH_2,,
co2_mean_Avg,co2_Avg,,
co2_um_m_Avg,co2_u_mol_Avg,,
stdev_co2,cov_co2_co2,,
stdev_h2o,cov_h2o_h2o,,
stdev_Ts,cov_Ts_Ts,,
cov_co2_Ux,cov_Ux_co2,,
cov_h2o_Ux,cov_Ux_h2o,,
cov_Ts_Ux,cov_Ux_Ts,,
stdev_Ux,cov_Ux_Ux,,
cov_co2_Uy,cov_Uy_co2,,
cov_h2o_Uy,cov_Uy_h2o,,
cov_Ts_Uy,cov_Uy_Ts,,
stdev_Uy,cov_Uy_Uy,,
cov_co2_Uz,cov_Uz_co2,,
cov_h2o_Uz,cov_Uz_h2o,,
cov_Ts_Uz,cov_Uz_Ts,,
cov_Ux_Uz,cov_Uz_Ux,,
cov_Uy_Uz,cov_Uz_Uy,,
stdev_Uz,cov_Uz_Uz,,
e_hmp_mean_Avg,e_Avg,,
h2o_mean_Avg,h2o_Avg,,
h2o_hmp_mean_Avg,h2o_hmp_Avg,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,
Hc,,,
Hs,,,
par_faceup_Avg,par_up_Avg,par_Avg_1,par_Avg
par_facedown_Avg,par_down_Avg,par_Avg_2,
Rad_long_Dn_Avg,Rad_long_Dn__Avg,,
Rad_long_Up_Avg,Rad_long_Up__Avg,,
rho_a_mean_Avg,rho_a_Avg,,
sig_lck_f_Tot,track_f_Tot,,
low12V_5000_Tot,low12V_5000,,
canopyE_IRT_Avg,canopy_IRT_Avg,,
CNR1TC_Avg,,,
soilT_P1_5_AVG,T_P1_5_AVG,,
soilT_P1_10_AVG,T_P1_10_AVG,,
soilT_P1_30_AVG,T_P1_30_AVG,,
soilT_P2_5_AVG,T_P2_5_AVG,,
soilT_P2_10_AVG,T_P2_10_AVG,,
soilT_P2_30_AVG,T_P2_30_AVG,,
soilT_P3_5_AVG,T_P3_5_AVG,,
soilT_P3_10_AVG,T_P3_10_AVG,,
soilT_P3_30_AVG,T_P3_30_AVG,,
soilT_J1_5_AVG,T_J1_5_AVG,,
soilT_J1_10_AVG,T_J1_10_AVG,,
soilT_J1_30_AVG,T_J1_30_AVG,,
soilT_J2_5_AVG,T_J2_5_AVG,,
soilT_J2_10_AVG,T_J2_10_AVG,,
soilT_J2_30_AVG,T_J2_30_AVG,,
soilT_J3_5_AVG,T_J3_5_AVG,,
soilT_J3_10_AVG,T_J3_10_AVG,,
soilT_J3_30_AVG,T_J3_30_AVG,,
soilT_O1_5_AVG,T_O1_5_AVG,,
soilT_O1_10_AVG,T_O1_10_AVG,,
soilT_O1_30_AVG,T_O1_30_AVG,,
soilT_O2_5_AVG,T_O2_5_AVG,,
soilT_O2_10_AVG,T_O2_10_AVG,,
soilT_O2_30_AVG,T_O2_30_AVG,,
soilT_O3_5_AVG,T_O3_5_AVG,,
soilT_O3_10_AVG,T_O3_10_AVG,,
soilT_O3_30_AVG,T_O3_30_AVG,,
soilT_P4_5_AVG,T_P4_5_AVG,,
soilT_P4_10_AVG,T_P4_10_AVG,,
soilT_P4_30_AVG,T_P4_30_AVG,,
soilT_P5_5_AVG,T_P5_5_AVG,,
soilT_P5_10_AVG,T_P5_10_AVG,,
soilT_P5_30_AVG,T_P5_30_AVG,,
tdrWC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5,
tdrWC_P1_10_AVG,WC_P1_10_AVG,WC_P1_10,
tdrWC_P1_30_AVG,WC_P1_30_AVG,WC_P1_30,
tdrWC_P2_5_AVG,WC_P2_5_AVG,WC_P2_5,
tdrWC_P2_10_AVG,WC_P2_10_AVG,WC_P2_10,
tdrWC_P2_30_AVG,WC_P2_30_AVG,WC_P2_30,
