current,cr23x_PJ_2014_01_01_0030,cr23x_PJ_2014_03_19_1400,cr23x_PJ_2014_03_25_1430,cr23x_PJ_2014_05_23_0930,cr23x_PJ_2014_11_12_1100,cr23x_PJ_2014_11_13_1630,cr23x_PJ_2014_12_05_1500,cr23x_PJ_2014_12_06_1030
AirTC_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne
AirTC_3p7_Avg,dne,dne,dne,dne,dne,dne,dne,dne
RH_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne
RH_3p7_Avg,dne,dne,dne,dne,dne,dne,dne,dne
co2_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne
co2_um_m_Avg,dne,dne,dne,dne,dne,dne,dne,dne
stdev_co2,dne,dne,dne,dne,dne,dne,dne,dne
stdev_h2o,dne,dne,dne,dne,dne,dne,dne,dne
stdev_Ts,dne,dne,dne,dne,dne,dne,dne,dne
cov_co2_Ux,dne,dne,dne,dne,dne,dne,dne,dne
cov_h2o_Ux,dne,dne,dne,dne,dne,dne,dne,dne
cov_Ts_Ux,dne,dne,dne,dne,dne,dne,dne,dne
stdev_Ux,dne,dne,dne,dne,dne,dne,dne,dne
cov_co2_Uy,dne,dne,dne,dne,dne,dne,dne,dne
cov_h2o_Uy,dne,dne,dne,dne,dne,dne,dne,dne
cov_Ts_Uy,dne,dne,dne,dne,dne,dne,dne,dne
stdev_Uy,dne,dne,dne,dne,dne,dne,dne,dne
cov_co2_Uz,dne,dne,dne,dne,dne,dne,dne,dne
cov_h2o_Uz,dne,dne,dne,dne,dne,dne,dne,dne
cov_Ts_Uz,dne,dne,dne,dne,dne,dne,dne,dne
cov_Ux_Uz,dne,dne,dne,dne,dne,dne,dne,dne
cov_Uy_Uz,dne,dne,dne,dne,dne,dne,dne,dne
stdev_Uz,dne,dne,dne,dne,dne,dne,dne,dne
e_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne
h2o_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne
h2o_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne
h2o_mm_m_Avg,dne,dne,dne,dne,dne,dne,dne,dne
Hc,dne,dne,dne,dne,dne,dne,dne,dne
Hs,dne,dne,dne,dne,dne,dne,dne,dne
par_faceup_Avg,dne,dne,dne,dne,dne,dne,dne,dne
par_facedown_Avg,dne,dne,dne,dne,dne,dne,dne,dne
Rad_long_Dn_Avg,dne,dne,dne,dne,dne,dne,dne,dne
Rad_long_Up_Avg,dne,dne,dne,dne,dne,dne,dne,dne
rho_a_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne
sig_lck_f_Tot,dne,dne,dne,dne,dne,dne,dne,dne
low12V_5000_Tot,dne,dne,dne,dne,dne,dne,dne,dne
canopyE_IRT_Avg,dne,dne,dne,dne,dne,dne,dne,dne
CNR1TC_Avg,dne,dne,dne,dne,dne,dne,dne,dne
soilT_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG
soilT_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG
soilT_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG
soilT_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG
soilT_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG
soilT_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG
soilT_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG
soilT_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG
soilT_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG
soilT_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG
soilT_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG
soilT_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG
soilT_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG
soilT_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG
soilT_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG
soilT_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG
soilT_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG
soilT_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG
soilT_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG
soilT_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG
soilT_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG
soilT_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG
soilT_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG
soilT_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG
soilT_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG
soilT_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG
soilT_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG
soilT_P4_5_AVG,dne,dne,T_P4_5_AVG,T_P4_5_AVG,T_P4_5_AVG,T_P4_5_AVG,T_P4_5_AVG,T_P4_5_AVG
soilT_P4_10_AVG,dne,dne,T_P4_10_AVG,T_P4_10_AVG,T_P4_10_AVG,T_P4_10_AVG,T_P4_10_AVG,T_P4_10_AVG
soilT_P4_30_AVG,dne,dne,T_P4_30_AVG,T_P4_30_AVG,T_P4_30_AVG,T_P4_30_AVG,T_P4_30_AVG,T_P4_30_AVG
soilT_P5_5_AVG,dne,dne,T_P5_5_AVG,T_P5_5_AVG,T_P5_5_AVG,T_P5_5_AVG,T_P5_5_AVG,T_P5_5_AVG
soilT_P5_10_AVG,dne,dne,T_P5_10_AVG,T_P5_10_AVG,T_P5_10_AVG,T_P5_10_AVG,T_P5_10_AVG,T_P5_10_AVG
soilT_P5_30_AVG,dne,dne,T_P5_30_AVG,T_P5_30_AVG,T_P5_30_AVG,T_P5_30_AVG,T_P5_30_AVG,T_P5_30_AVG
tdrWC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG
