af_mapping,qc_mapping,desc,current,TOA5_PJ_2007_11_09_1730,TOA5_PJ_2008_02_11_1700,TOA5_PJ_2008_06_19_1200,TOA5_PJ_2008_08_02_1230,TOA5_PJ_2009_06_17_1330,TOA5_PJ_2010_05_31_1730,TOA5_PJ_2013_07_12_1200,TOA5_PJ_2014_01_10_1600,TOA5_PJ_2014_03_21_1100,TOA5_PJ_2014_03_26_1430
NaN,,NaN,AirTC_10_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_3p7_Avg,current,current
NaN,,NaN,AirTC_3p7_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_10_Avg,current,current
NaN,,NaN,RH_10_Avg,RH,RH,RH,RH,RH,RH,RH,RH_3p7_Avg,current,current
NaN,,NaN,RH_3p7_Avg,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_10_Avg,current,current
NaN,,NaN,co2_mean_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,current,current,current
NaN,,NaN,co2_um_m_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,current,current,current
NaN,,NaN,stdev_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,current,current,current
NaN,,NaN,stdev_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,current,current,current
NaN,,NaN,stdev_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current,current
NaN,,NaN,cov_co2_Ux,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,current,current,current
NaN,,NaN,cov_h2o_Ux,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,current,current,current
NaN,,NaN,cov_Ts_Ux,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,current,current,current
NaN,,NaN,stdev_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current,current
NaN,,NaN,cov_co2_Uy,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,current,current,current
NaN,,NaN,cov_h2o_Uy,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,current,current,current
NaN,,NaN,cov_Ts_Uy,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,current,current,current
NaN,,NaN,stdev_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current,current
NaN,,NaN,cov_co2_Uz,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,current,current,current
