af_mapping,qc_mapping,desc,current,cr23x_PJ_2009_01_01_0030_compilation,cr23x_PJ_2013_01_01_0030_compilation,cr23x_PJ_2014_01_01_0030,cr23x_PJ_2014_03_19_1400,cr23x_PJ_2014_03_25_1430,cr23x_PJ_2014_05_23_0930,cr23x_PJ_2014_11_12_1100,cr23x_PJ_2014_11_13_1630,cr23x_PJ_2014_12_05_1500,cr23x_PJ_2014_12_06_1030
NaN,,NaN,AirTC_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,AirTC_3p7_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,RH_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,RH_3p7_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,co2_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,co2_um_m_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,stdev_co2,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,stdev_h2o,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,stdev_Ts,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_co2_Ux,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_h2o_Ux,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_Ts_Ux,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,stdev_Ux,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_co2_Uy,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_h2o_Uy,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_Ts_Uy,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,stdev_Uy,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_co2_Uz,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_h2o_Uz,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_Ts_Uz,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_Ux_Uz,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,cov_Uy_Uz,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,stdev_Uz,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,e_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,h2o_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,h2o_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,h2o_mm_m_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,Hc,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,Hs,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,par_faceup_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,par_facedown_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,Rad_long_Dn_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,Rad_long_Up_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,rho_a_mean_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,sig_lck_f_Tot,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,low12V_5000_Tot,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,canopyE_IRT_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,CNR1TC_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_AVG,NaN,Tsoil_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
NaN,SOILT_P1_5_AVG,NaN,T_P1_5_AVG,soilT_P1_5_AVG,soilT_P1_5_AVG,current,current,current,current,current,current,current,current
