af_mapping,qc_mapping,desc,current,previous1,previous2,previous3
,,,AirTC_6p85_Avg,AirTC_10_Avg,t_hmp_Avg,t_hmp_Avg_1
,,,RH_6p85_Avg,RH_10_Avg,rh_hmp_Avg,H
,,,AirTC_3p7_Avg,,,
,,,RH_3p7_Avg,,,
,,,co2_mean_Avg,co2_Avg,,
,,,stdev_co2,cov_co2_co2,,
,,,stdev_h2o,cov_h2o_h2o,,
,,,stdev_Ts,cov_Ts_Ts,,
,,,cov_co2_Ux,cov_Ux_co2,,
,,,cov_h2o_Ux,cov_Ux_h2o,,
,,,cov_Ts_Ux,cov_Ux_Ts,,
,,,stdev_Ux,cov_Ux_Ux,,
,,,cov_co2_Uy,cov_Uy_co2,,
,,,cov_h2o_Uy,cov_Uy_h2o,,
,,,cov_Ts_Uy,cov_Uy_Ts,,
,,,stdev_Uy,cov_Uy_Uy,,
,,,cov_co2_Uz,cov_Uz_co2,,
,,,cov_h2o_Uz,cov_Uz_h2o,,
,,,cov_Ts_Uz,cov_Uz_Ts,,
,,,cov_Ux_Uz,cov_Uz_Ux,,
,,,cov_Uy_Uz,cov_Uz_Uy,,
,,,stdev_Uz,cov_Uz_Uz,,
,,,h2o_mean_Avg,h2o_Avg,,
,,,Hc,,,
,,,Hs,,,
,,,par_facedown_Avg,par_down_Avg,,
,,,par_faceup_Avg,par_up_Avg,par_Avg,
,,,rho_a_mean_Avg,rho_a_Avg,,
,,,sig_lck_f_Tot,track_f_Tot,,
,,,CG3UpCo_Avg,Rad_long_Up_TCor_Avg,,
,,,CG3DnCo_Avg,Rad_long_Dn_TCor_Avg,,
,,,NetRs_Avg,Rn_short_Avg,Rn_short_Avg_1,
,,,NetRl_Avg,Rn_long_Avg,Rn_long_Avg_1,
,,,NetTot_Avg,Rn_total_Avg,Rn_total_Avg_1,
,,,Rad_long_Dn_Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg_1,
,,,Rad_long_Up_Avg,Rad_long_Up__Avg,Rad_long_Up__Avg_1,
,,,Rad_short_Up_Avg,Rad_short_Up_Avg_1,,
,,,Rad_short_Dn_Avg,Rad_short_Dn_Avg_1,,
,,,CNR1TC_Avg,Temp_C_Avg,Temp_C_Avg_1,
,,,canopyE_IRT_Avg,canopy_IRT_Avg,,
,,,h2o_hmp_mean_Avg,h2o_hmp_Avg,,
,SOILT_AVG,,Tsoil_Avg,Tsoil_avg,,
,SOILT_P1_5_AVG,,T_P1_5_AVG,soilT_P1_5_AVG,,
,SOILT_P1_10_AVG,,T_P1_10_AVG,soilT_P1_10_AVG,,
,SOILT_P1_30_AVG,,T_P1_30_AVG,soilT_P1_30_AVG,,
,SOILT_P2_5_AVG,,T_P2_5_AVG,soilT_P2_5_AVG,,
,SOILT_P2_10_AVG,,T_P2_10_AVG,soilT_P2_10_AVG,,
,SOILT_P2_30_AVG,,T_P2_30_AVG,soilT_P2_30_AVG,,
,SOILT_P3_5_AVG,,T_P3_5_AVG,soilT_P3_5_AVG,,
,SOILT_P3_10_AVG,,T_P3_10_AVG,soilT_P3_10_AVG,,
,SOILT_P3_30_AVG,,T_P3_30_AVG,soilT_P3_30_AVG,,
,SOILT_J1_5_AVG,,T_J1_5_AVG,soilT_J1_5_AVG,,
,SOILT_J1_10_AVG,,T_J1_10_AVG,soilT_J1_10_AVG,,
,SOILT_J1_30_AVG,,T_J1_30_AVG,soilT_J1_30_AVG,,
,SOILT_J2_5_AVG,,T_J2_5_AVG,soilT_J2_5_AVG,,
,SOILT_J2_10_AVG,,T_J2_10_AVG,soilT_J2_10_AVG,,
,SOILT_J2_30_AVG,,T_J2_30_AVG,soilT_J2_30_AVG,,
,SOILT_J3_5_AVG,,T_J3_5_AVG,soilT_J3_5_AVG,,
,SOILT_J3_10_AVG,,T_J3_10_AVG,soilT_J3_10_AVG,,
,SOILT_J3_30_AVG,,T_J3_30_AVG,soilT_J3_30_AVG,,
,SOILT_O1_5_AVG,,T_O1_5_AVG,soilT_O1_5_AVG,,
,SOILT_O1_10_AVG,,T_O1_10_AVG,soilT_O1_10_AVG,,
,SOILT_O1_30_AVG,,T_O1_30_AVG,soilT_O1_30_AVG,,
,SOILT_O2_5_AVG,,T_O2_5_AVG,soilT_O2_5_AVG,,
,SOILT_O2_10_AVG,,T_O2_10_AVG,soilT_O2_10_AVG,,
,SOILT_O2_30_AVG,,T_O2_30_AVG,soilT_O2_30_AVG,,
,SOILT_O3_5_AVG,,T_O3_5_AVG,soilT_O3_5_AVG,,
,SOILT_O3_10_AVG,,T_O3_10_AVG,soilT_O3_10_AVG,,
,SOILT_O3_30_AVG,,T_O3_30_AVG,soilT_O3_30_AVG,,
,SWC_P1_5_AVG,,WC_P1_5_AVG,WC_P1_5,,
,SWC_P1_10_AVG,,WC_P1_10_AVG,WC_P1_10,,
,SWC_P1_30_AVG,,WC_P1_30_AVG,WC_P1_30,,
,SWC_P2_5_AVG,,WC_P2_5_AVG,WC_P2_5,,
,SWC_P2_10_AVG,,WC_P2_10_AVG,WC_P2_10,,
,SWC_P2_30_AVG,,WC_P2_30_AVG,WC_P2_30,,
,SWC_P3_5_AVG,,WC_P3_5_AVG,WC_P3_5,,
,SWC_P3_10_AVG,,WC_P3_10_AVG,WC_P3_10,,
,SWC_P3_30_AVG,,WC_P3_30_AVG,WC_P3_30,,
,SWC_J1_5_AVG,,WC_J1_5_AVG,WC_J1_5,,
,SWC_J1_10_AVG,,WC_J1_10_AVG,WC_J1_10,,
,SWC_J1_30_AVG,,WC_J1_30_AVG,WC_J1_30,,
,SWC_J2_5_AVG,,WC_J2_5_AVG,WC_J2_5,,
,SWC_J2_10_AVG,,WC_J2_10_AVG,WC_J2_10,,
,SWC_J2_30_AVG,,WC_J2_30_AVG,WC_J2_30,,
,SWC_J3_5_AVG,,WC_J3_5_AVG,WC_J3_5,,
,SWC_J3_10_AVG,,WC_J3_10_AVG,WC_J3_10,,
,SWC_J3_30_AVG,,WC_J3_30_AVG,WC_J3_30,,
,SWC_O1_5_AVG,,WC_O1_5_AVG,WC_O1_5,,
,SWC_O1_10_AVG,,WC_O1_10_AVG,WC_O1_10,,
,SWC_O1_30_AVG,,WC_O1_30_AVG,WC_O1_30,,
,SWC_O2_5_AVG,,WC_O2_5_AVG,WC_O2_5,,
,SWC_O2_10_AVG,,WC_O2_10_AVG,WC_O2_10,,
,SWC_O2_30_AVG,,WC_O2_30_AVG,WC_O2_30,,
,SWC_O3_5_AVG,,WC_O3_5_AVG,WC_O3_5,,
,SWC_O3_10_AVG,,WC_O3_10_AVG,WC_O3_10,,
,SWC_O3_30_AVG,,WC_O3_30_AVG,WC_O3_30,,
,SHF_P1_AVG,,shf_P1_AVG,,,
,SHF_P2_AVG,,shf_P2_AVG,,,
,SHF_P3_AVG,,shf_P3_AVG,,,
,SHF_J1_AVG,,shf_J1_AVG,,,
,SHF_J2_AVG,,shf_J2_AVG,,,
,SHF_J3_AVG,,shf_J3_AVG,,,
,SHF_O1_AVG,,shf_O1_AVG,,,
,SHF_O2_AVG,,shf_O2_AVG,,,
,SHF_O3_AVG,,shf_O3_AVG,,,
,,,hfp_cal_1,LaLP1_5,,
,,,hfp_cal_2,LaLP1_10,,
,,,hfp_cal_3,LaLP1_30,,
,,,hfp_cal_4,LaLP2_5,,
,,,hfp_cal_5,LaLP2_10,,
,,,hfp_cal_6,LaLP2_30,,
,,,hfp_cal_7,LaLP3_5,,
,,,hfp_cal_8,LaLP3_10,,
,,,hfp_cal_9,LaLP3_30,,
,,,sap_P1a_AVG,,,
,,,sap_P1b_AVG,,,
,,,sap_P2a_AVG,,,
,,,sap_P2b_AVG,,,
,,,sap_P3a_AVG,,,
,,,sap_P3b_AVG,,,
,,,sap_P4a_AVG,,,
,,,sap_P4b_AVG,,,
,,,sap_P5a_AVG,,,
,,,sap_P5b_AVG,,,
,,,sap_J1a_AVG,,,
,,,sap_J1b_AVG,,,
,,,sap_J2a_AVG,,,
,,,sap_J2b_AVG,,,
,,,sap_J3a_AVG,,,
,,,sap_J3b_AVG,,,
,,,sap_J4a_AVG,,,
,,,sap_J4b_AVG,,,
,,,sap_J5a_AVG,,,
,,,sap_J5b_AVG,,,
,,,SCO2_P15_AVG,,,
,,,SCO2_P110_AVG,,,
,,,SCO2_P120_AVG,SCO2_P130_AVG,SCO2_P130_AVG,
,,,SCO2_P140_AVG,,,
,,,SCO2_P25_AVG,,,
,,,SCO2_P210_AVG,,,
,,,SCO2_P220_AVG,SCO2_P230_AVG,SCO2_P230_AVG,
,,,SCO2_P240_AVG,,,
,,,sap_sp1a_AVG,,,
,,,sap_sp1b_AVG,,,
,,,sap_sp2a_AVG,,,
,,,sap_sp2b_AVG,,,
,,,sap_sp3a_AVG,,,
,,,sap_sp3b_AVG,,,
,,,sap_sp4a_AVG,,,
,,,sap_sp4b_AVG,,,
,,,sap_sp5a_AVG,,,
,,,sap_sp5b_AVG,,,
,,,ref_temp_AVG,,,
,,,T_P1_5_STD,,,
,,,T_P1_10_STD,,,
,,,T_P1_30_STD,,,
,,,T_P2_5_STD,,,
,,,T_P2_10_STD,,,
,,,T_P2_30_STD,,,
,,,T_P3_5_STD,,,
,,,T_P3_10_STD,,,
,,,T_P3_30_STD,,,
,,,shf_P1_STD,,,
,,,shf_P2_STD,,,
,,,shf_P3_STD,,,
,,,shf_J1_STD,,,
,,,shf_J2_STD,,,
,,,shf_J3_STD,,,
,,,shf_O1_STD,,,
,,,shf_O2_STD,,,
,,,shf_O3_STD,,,
,,,shfmV_P1_STD,,,
,,,shfmV_P2_STD,,,
,,,shfmV_P3_STD,,,
,,,shfmV_J1_STD,,,
,,,shfmV_J2_STD,,,
,,,shfmV_J3_STD,,,
,,,shfmV_O1_STD,,,
,,,shfmV_O2_STD,,,
,,,shfmV_O3_STD,,,
,,,ref_temp_STD,,,
,,,shfmV_P1_AVG,,,
,,,shfmV_P2_AVG,,,
,,,shfmV_P3_AVG,,,
,,,shfmV_J1_AVG,,,
,,,shfmV_J2_AVG,,,
,,,shfmV_J3_AVG,,,
,,,shfmV_O1_AVG,,,
,,,shfmV_O2_AVG,,,
,,,shfmV_O3_AVG,,,
,,,SCO2_J15_AVG,,,
,,,SCO2_J120_AVG,SCO2_J110_AVG,,
,,,SCO2_J150_AVG,SCO2_J130_AVG,,
,,,SCO2_J25_AVG,,,
,,,SCO2_J220_AVG,SCO2_J210_AVG,,
,,,SCO2_J250_AVG,SCO2_J230_AVG,,
