current,previous1,previous2,previous3,
AirTC_1p35_Avg,,,,
AirTC_8p65_Avg,AirTC_4p5_Avg,AirTC_2_Avg,AirTC_4p95_Avg,
AirTC_16_Avg,,,,
AirTC_24_Avg,AirTC_Avg,AirTC_21p65_Avg,,
RH_1p35_Avg,,,,
RH_8p65_Avg,RH_4p5_Avg,RH_2_Avg,RH_4p95_Avg,
RH_16_Avg,,,,
RH_24_Avg,RH_Avg,RH_21p65_Avg,,
co2_mean_Avg,co2_Avg,,,
co2_um_m_Avg,co2_u_mol_Avg,,,
stdev_Ts,cov_Ts_Ts,,,
stdev_Ux,cov_Ux_Ux,,,
stdev_Uy,cov_Uy_Uy,,,
stdev_Uz,cov_Uz_Uz,,,
stdev_co2,cov_co2_co2,,,
stdev_h2o,cov_h2o_h2o,,,
cov_Ts_Ux,cov_Ux_Ts,,,
cov_Ts_Uy,cov_Uy_Ts,,,
cov_Ts_Uz,cov_Uz_Ts,,,
cov_Ux_Uz,cov_Uz_Ux,,,
cov_Uy_Uz,cov_Uz_Uy,,,
cov_co2_Ux,cov_Ux_co2,,,
cov_co2_Uy,cov_Uy_co2,,,
cov_co2_Uz,cov_Uz_co2,,,
cov_h2o_Ux,cov_Ux_h2o,,,
cov_h2o_Uy,cov_Uy_h2o,,,
cov_h2o_Uz,cov_Uz_h2o,,,
e_hmp_mean_Avg,e_Avg,,,
h2o_mean_Avg,h2o_Avg,,,
h2o_hmp_mean_Avg,h2o_hmp_Avg,,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,,
Hc,,,,
Hs,,,,
Rad_long_Dn_Avg,Rad_long_Dn__Avg,Rad_long_Dn_Avg_1,,
Rad_long_Up_Avg,Rad_long_Up__Avg,Rad_long_Up_Avg_1,,
Rad_short_Dn_Avg,Rad_short_Up_Avg_1,,,
Rad_short_Up_Avg,Rad_short_Dn_Avg_1,,,
CG3UpCo_Avg,Rad_long_Up__Avg_1,,,
CG3DnCo_Avg,Rad_long_Dn__Avg_1,,,
NetTot_Avg,Rn_total_Avg_1,,,
NetRs_Avg,Rn_short_Avg_1,,,
NetRl_Avg,Rn_long_Avg_1,,,
par_faceup_Avg,par_Avg,par_up_Avg,,
par_facedown_Avg,par_down_Avg,,,
CNR1TC_Avg,Temp_C_Avg_1,,,
rho_a_mean_Avg,rho_a_Avg,,,
sig_lck_f_Tot,track_f_Tot,,,
SWC_P1_5_Avg,SWC_Avg_1,,,
SWC_P1_10_Avg,SWC_Avg_2,,,
SWC_P1_30_Avg,SWC_Avg_3,,,
SWC_P1_60_Avg,SWC_Avg_4,,,
SWC_P2_5_Avg,SWC_Avg_5,,,
