current,TOA5_PPine_2006_08_30_1300,TOA5_PPine_2006_11_18_2130,TOA5_PPine_2007_06_26_0900,TOA5_PPine_2008_07_08_1600,TOA5_PPine_2010_06_18_2030,TOA5_PPine_2010_10_07_1830,TOA5_PPine_2013_11_19_1600,TOA5_PPine_2013_12_28_1430,TOA5_PPine_2014_01_09_1000,TOA5_PPine_2014_03_20_0830,TOA5_PPine_2014_05_23_1430,TOA5_PPine_2014_06_12_1530,TOA5_PPine_2014_08_19_1530,TOA5_PPine_2014_10_09_1300
AirTC_1p35_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
AirTC_8p65_Avg,dne,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_4p95_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,current
AirTC_16_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
AirTC_24_Avg,dne,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_21p65_Avg,current,current,current,current,current,current,current
RH_1p35_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
RH_8p65_Avg,dne,dne,dne,RH_2_Avg,RH_2_Avg,RH_2_Avg,RH_4p95_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,current
RH_16_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
RH_24_Avg,dne,dne,dne,RH_Avg,RH_Avg,RH_Avg,RH_21p65_Avg,current,current,current,current,current,current,current
co2_mean_Avg,dne,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,current,current,current,current,current,current
co2_um_m_Avg,dne,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,current,current,current,current,current,current
stdev_Ts,dne,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current,current,current,current,current
stdev_Ux,dne,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current,current,current,current,current
stdev_Uy,dne,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current,current,current,current,current
