current,previous1,previous2,previous3
AirTC_Avg,t_hmp_mean,,
RH_Avg,rh_hmp,,
co2_mean_Avg,co2_mean,,
stdev_co2,cov_co2_co2,,
stdev_h2o,cov_h2o_h2o,,
stdev_Ts,cov_Ts_Ts,,
cov_co2_Ux,cov_Ux_co2,,
cov_h2o_Ux,cov_Ux_h2o,,
cov_Ts_Ux,cov_Ux_Ts,,
stdev_Ux,cov_Ux_Ux,,
cov_Ux_Uy,cov_Uy_Ux,,
cov_co2_Uy,cov_Uy_co2,,
cov_h2o_Uy,cov_Uy_h2o,,
cov_Ts_Uy,cov_Uy_Ts,,
stdev_Uy,cov_Uy_Uy,,
cov_co2_Uz,cov_Uz_co2,,
cov_h2o_Uz,cov_Uz_h2o,,
cov_Ts_Uz,cov_Uz_Ts,,
cov_Ux_Uz,cov_Uz_Ux,,
cov_Uy_Uz,cov_Uz_Uy,,
stdev_Uz,cov_Uz_Uz,,
e_hmp_mean_Avg,e_Avg,,
h2o_mean_Avg,h2o_Avg,,
h2o_hmp_mean_Avg,h2o_hmp_Avg,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,
Hc,,,
Hs,,,
par_face_down_Avg,par_upwelling_Avg,,
par_face_up_Avg,par_incoming_Avg,par_Avg,
Rad_long_Dn__Avg,Rad_long_Dn_Avg,,
Rad_long_Up__Avg,Rad_long_Up_Avg,,
rho_a_mean_Avg,rho_a_mean,,
sig_lck_f_Tot,track_f_Tot,,
CNR1TC_Avg,,,
SWC_O1_2p5_Avg,soil_h2o_o1_2p5_Avg,cs616_wcr_Avg_1,cs616_wcr_1
SWC_O1_12p5_Avg,soil_h2o_o1_12p5_Avg,cs616_wcr_Avg_2,cs616_wcr_2
SWC_O1_22p5_Avg,soil_h2o_o1_22p5_Avg,cs616_wcr_Avg_3,cs616_wcr_3
SWC_O1_37p5_Avg,soil_h2o_o1_37p5_Avg,cs616_wcr_Avg_4,cs616_wcr_4
SWC_O1_52p5_Avg,soil_h2o_o1_52p5_Avg,cs616_wcr_Avg_5,cs616_wcr_5
SWC_S1_2p5_Avg,soil_h2o_s1_2p5_Avg,cs616_wcr_Avg_6,cs616_wcr_6
SWC_S1_12p5_Avg,soil_h2o_s1_12p5_Avg,cs616_wcr_Avg_7,cs616_wcr_7
SWC_S1_22p5_Avg,soil_h2o_s1_22p5_Avg,cs616_wcr_Avg_8,cs616_wcr_8
SWC_S1_37p5_Avg,soil_h2o_s1_37p5_Avg,cs616_wcr_Avg_9,cs616_wcr_9
SWC_S1_52p5_Avg,soil_h2o_s1_52p5_Avg,cs616_wcr_Avg_10,cs616_wcr_10
SWC_O2_2p5_Avg,soil_h2o_o2_2p5_Avg,cs616_wcr_Avg_11,cs616_wcr_11
SWC_O2_12p5_Avg,soil_h2o_o2_12p5_Avg,cs616_wcr_Avg_12,cs616_wcr_12
SWC_O2_22p5_Avg,soil_h2o_o2_22p5_Avg,cs616_wcr_Avg_13,cs616_wcr_13
SWC_O2_37p5_Avg,soil_h2o_o2_37p5_Avg,cs616_wcr_Avg_14,cs616_wcr_14
SWC_O2_52p5_Avg,soil_h2o_o2_52p5_Avg,cs616_wcr_Avg_15,cs616_wcr_15
SWC_S2_2p5_Avg,soil_h2o_s2_2p5_Avg,cs616_wcr_Avg_16,cs616_wcr_16
SWC_S2_12p5_Avg,soil_h2o_s2_12p5_Avg,cs616_wcr_Avg_17,cs616_wcr_17
SWC_S2_22p5_Avg,soil_h2o_s2_22p5_Avg,cs616_wcr_Avg_18,cs616_wcr_18
SWC_S2_37p5_Avg,soil_h2o_s2_37p5_Avg,cs616_wcr_Avg_19,cs616_wcr_19
SWC_S2_52p5_Avg,soil_h2o_s2_52p5_Avg,cs616_wcr_Avg_20,cs616_wcr_20
dummy1_Avg,,cs616_wcr_Avg_21,cs616_wcr_21
dummy2_Avg,,cs616_wcr_Avg_22,
soil_water_T_Avg_1,soil_water_T_1,,
soil_water_T_Avg_2,soil_water_T_2,,
soil_water_T_Avg_3,soil_water_T_3,,
soil_water_T_Avg_4,soil_water_T_4,,
soil_water_T_Avg_5,soil_water_T_5,,
soil_water_T_Avg_6,soil_water_T_6,,
soil_water_T_Avg_7,soil_water_T_7,,
soil_water_T_Avg_8,soil_water_T_8,,
soil_water_T_Avg_9,soil_water_T_9,,
soil_water_T_Avg_10,soil_water_T_10,,
soil_water_T_Avg_11,soil_water_T_11,,
soil_water_T_Avg_12,soil_water_T_12,,
soil_water_T_Avg_13,soil_water_T_13,,
soil_water_T_Avg_14,soil_water_T_14,,
soil_water_T_Avg_15,soil_water_T_15,,
soil_water_T_Avg_16,soil_water_T_16,,
soil_water_T_Avg_17,soil_water_T_17,,
soil_water_T_Avg_18,soil_water_T_18,,
soil_water_T_Avg_19,soil_water_T_19,,
soil_water_T_Avg_20,soil_water_T_20,,
soil_water_T_Avg_21,soil_water_T_21,,
soil_water_T_Avg_22,,,
SoilT_O1_2p5_Avg,soilt_O1_2p5_Avg,mux25t_signal_Avg_1,
SoilT_O1_12p5_Avg,soilt_O1_12p5_Avg,mux25t_signal_Avg_2,
SoilT_O1_22p5_Avg,soilt_O1_22p5_Avg,mux25t_signal_Avg_3,
SoilT_O1_37p5_Avg,soilt_O1_37p5_Avg,mux25t_signal_Avg_4,
SoilT_O1_52p5_Avg,soilt_O1_52p5_Avg,mux25t_signal_Avg_5,
SoilT_S1_2p5_Avg,soilt_S1_2p5_Avg,mux25t_signal_Avg_6,
SoilT_S1_12p5_Avg,soilt_S1_12p5_Avg,mux25t_signal_Avg_7,
SoilT_S1_22p5_Avg,soilt_S1_22p5_Avg,mux25t_signal_Avg_8,
SoilT_S1_37p5_Avg,soilt_S1_37p5_Avg,mux25t_signal_Avg_9,
SoilT_S1_52p5_Avg,soilt_S1_52p5_Avg,mux25t_signal_Avg_10,
SoilT_O2_2p5_Avg,soilt_O2_2p5_Avg,mux25t_signal_Avg_11,
