current,TOA5_SLand_2007_05_30_1800,TOA5_SLand_2007_11_27_1100,TOA5_SLand_2009_02_18_1800,TOA5_SLand_2009_06_24_1530,TOA5_SLand_2011_06_13_1500,TOA5_SLand_2012_08_06_1430,TOA5_SLand_2014_01_17_1430,TOA5_SLand_2014_05_08_0830,TOA5_SLand_2014_11_19_1730
AirTC_Avg,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,current,current,current
RH_Avg,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,current,current,current
co2_mean_Avg,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,current,current,current
stdev_co2,current,current,current,current,current,current,current,current,current
stdev_h2o,current,current,current,current,current,current,current,current,current
stdev_Ts,current,current,current,current,current,current,current,current,current
cov_co2_Ux,current,current,current,current,current,current,current,current,current
cov_h2o_Ux,current,current,current,current,current,current,current,current,current
cov_Ts_Ux,current,current,current,current,current,current,current,current,current
stdev_Ux,current,current,current,current,current,current,current,current,current
cov_Ux_Uy,current,current,current,current,current,current,current,current,current
cov_co2_Uy,current,current,current,current,current,current,current,current,current
cov_h2o_Uy,current,current,current,current,current,current,current,current,current
cov_Ts_Uy,current,current,current,current,current,current,current,current,current
stdev_Uy,current,current,current,current,current,current,current,current,current
cov_co2_Uz,current,current,current,current,current,current,current,current,current
cov_h2o_Uz,current,current,current,current,current,current,current,current,current
cov_Ts_Uz,current,current,current,current,current,current,current,current,current
cov_Ux_Uz,current,current,current,current,current,current,current,current,current
cov_Uy_Uz,current,current,current,current,current,current,current,current,current
stdev_Uz,current,current,current,current,current,current,current,current,current
e_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,current,current,current
h2o_mean_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,current,current,current
h2o_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,current,current,current
h2o_mm_m_Avg,current,current,current,current,current,current,current,current,current
Hc,current,current,current,current,current,current,current,current,current
Hs,current,current,current,current,current,current,dne,dne,dne
par_face_down_Avg,dne,dne,dne,dne,par_upwelling_Avg,par_upwelling_Avg,current,current,current
par_face_up_Avg,par_Avg,par_Avg,par_Avg,par_Avg,par_incoming_Avg,par_incoming_Avg,current,current,current
Rad_long_Dn__Avg,current,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,current,current,current
Rad_long_Up__Avg,current,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,current,current,current
rho_a_mean_Avg,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,current,current,current
sig_lck_f_Tot,current,current,current,current,current,current,current,current,current
CNR1TC_Avg,current,current,current,current,current,current,current,current,current
