current,previous1,previous2
AirTC_Avg,t_hmp_mean,
RH_Avg,rh_hmp_mean,
co2_mean_Avg,co2_Avg,
co2_um_m_Avg,co2_u_mol_Avg,
stdev_co2,cov_co2_co2,
stdev_h2o,cov_h2o_h2o,
stdev_Ts,cov_Ts_Ts,
cov_co2_Ux,cov_Ux_co2,
cov_h2o_Ux,cov_Ux_h2o,
cov_Ts_Ux,cov_Ux_Ts,
stdev_Ux,cov_Ux_Ux,
cov_Ux_Uy,cov_Uy_Ux,
cov_co2_Uy,cov_Uy_co2,
cov_h2o_Uy,cov_Uy_h2o,
cov_Ts_Uy,cov_Uy_Ts,
stdev_Uy,cov_Uy_Uy,
cov_co2_Uz,cov_Uz_co2,
cov_h2o_Uz,cov_Uz_h2o,
cov_Ts_Uz,cov_Uz_Ts,
cov_Ux_Uz,cov_Uz_Ux,
cov_Uy_Uz,cov_Uz_Uy,
stdev_Uz,cov_Uz_Uz,
e_hmp_mean_Avg,e_Avg,
h2o_mean_Avg,h2o_Avg,
h2o_hmp_mean_Avg,h2o_hmp_Avg,
h2o_mm_m_Avg,h2o_m_mol_Avg,
Hc,Hs,
par_facedown_Avg,par_face_down_Avg,
par_faceup_Avg,par_face_up_Avg,
Rad_long_Dn__Avg,Rad_long_Dn_Avg,
Rad_long_Up__Avg,Rad_long_Up_Avg,
rho_a_mean_Avg,rho_a_Avg,
sig_lck_f_Tot,track_f_Tot,
low12V_3000_Tot,low12V,
panelT_3000_Avg,panelT_3000_in_Avg,
panelT_5000_Avg,panelT_5000_in_Avg,
TCAV_grass_Avg,TCAV_grass_2_Avg,
TCAV_open_Avg,TCAV_open_1_Avg,
SWC_G1_12p5_Avg,cs616SWC_swc_grass_1_12p5cm_Avg,swc_grass1_12p5cm_Avg
SWC_G1_22p5_Avg,cs616SWC_swc_grass_1_22p5cm_Avg,swc_grass1_22p5cm_Avg
SWC_G1_2p5_Avg,cs616SWC_swc_grass_1_2p5cm_Avg,swc_grass1_2p5cm_Avg
SWC_G1_37p5_Avg,cs616SWC_swc_grass_1_37p5cm_Avg,swc_grass1_37p5cm_Avg
SWC_G1_52p5_Avg,cs616SWC_swc_grass_1_52p5cm_Avg,swc_grass1_52p5cm_Avg
SWC_G2_12p5_Avg,cs616SWC_swc_grass_2_12p5cm_Avg,swc_grass2_12p5cm_Avg
SWC_G2_22p5_Avg,cs616SWC_swc_grass_2_22p5cm_Avg,swc_grass2_22p5cm_Avg
SWC_G2_2p5_Avg,cs616SWC_swc_grass_2_2p5cm_Avg,swc_grass2_2p5cm_Avg
SWC_G2_37p5_Avg,cs616SWC_swc_grass_2_37p5cm_Avg,swc_grass2_37p5cm_Avg
SWC_G2_52p5_Avg,cs616SWC_swc_grass_2_52p5cm_Avg,swc_grass2_52p5cm_Avg
SWC_O1_12p5_Avg,cs616SWC_swc_open_1_12p5cm_Avg,swc_open1_12p5cm_Avg
SWC_O1_22p5_Avg,cs616SWC_swc_open_1_22p5cm_Avg,swc_open1_22p5cm_Avg
SWC_O1_2p5_Avg,cs616SWC_swc_open_1_2p5cm_Avg,swc_open1_2p5cm_Avg
SWC_O1_37p5_Avg,cs616SWC_swc_open_1_37p5cm_Avg,swc_open1_37p5cm_Avg
SWC_O1_52p5_Avg,cs616SWC_swc_open_1_52p5cm_Avg,swc_open1_52p5cm_Avg
