current,TOA5_JSav_soilwcr_2012_05_02_1130,TOA5_JSav_soilwcr_2014_01_17_1600
AirTC_10_Avg,dne,dne
AirTC_3p7_Avg,dne,dne
RH_10_Avg,dne,dne
RH_3p7_Avg,dne,dne
co2_mean_Avg,dne,dne
co2_um_m_Avg,dne,dne
stdev_co2,dne,dne
stdev_h2o,dne,dne
stdev_Ts,dne,dne
cov_co2_Ux,dne,dne
cov_h2o_Ux,dne,dne
cov_Ts_Ux,dne,dne
stdev_Ux,dne,dne
cov_co2_Uy,dne,dne
cov_h2o_Uy,dne,dne
cov_Ts_Uy,dne,dne
stdev_Uy,dne,dne
cov_co2_Uz,dne,dne
cov_h2o_Uz,dne,dne
cov_Ts_Uz,dne,dne
cov_Ux_Uz,dne,dne
cov_Uy_Uz,dne,dne
stdev_Uz,dne,dne
e_hmp_mean_Avg,dne,dne
h2o_mean_Avg,dne,dne
h2o_hmp_mean_Avg,dne,dne
h2o_mm_m_Avg,dne,dne
Hc,dne,dne
Hs,dne,dne
par_facedown_Avg,dne,dne
par_faceup_Avg,dne,dne
rho_a_mean_Avg,dne,dne
sig_lck_f_Tot,dne,dne
low12V_5000_Tot,dne,dne
panelT_5000_in_Avg,dne,dne
CNR1TC_Avg,dne,dne
SWC_O1_5_Avg,PA_uS_Avg_10,SWC_O1_2p5
SWC_O1_10_Avg,PA_uS_Avg_11,SWC_O1_12p5
SWC_O1_20_Avg,dne,dne
SWC_O1_30_Avg,PA_uS_Avg_12,SWC_O1_32p5
SWC_O1_40_Avg,dne,dne
SWC_O2_5_Avg,PA_uS_Avg_13,SWC_O2_2p5
SWC_O2_10_Avg,PA_uS_Avg_14,SWC_O2_12p5
SWC_O2_20_Avg,dne,dne
SWC_O2_30_Avg,PA_uS_Avg_15,SWC_O2_32p5
SWC_O2_40_Avg,dne,dne
SWC_E1_5_Avg,dne,dne
SWC_E1_10_Avg,dne,dne
SWC_E1_20_Avg,dne,dne
SWC_E1_30_Avg,dne,dne
SWC_E1_40_Avg,dne,dne
SWC_J1_5_Avg,dne,SWC_J1_2p5
