current,previous1,previous2
AirTC_10_Avg,AirTC_Avg,
AirTC_3p7_Avg,AirTC_2_Avg,
RH_10_Avg,RH,
RH_3p7_Avg,RH_2,
co2_mean_Avg,co2_Avg,
co2_um_m_Avg,co2_u_mol_Avg,
stdev_co2,cov_co2_co2,
stdev_h2o,cov_h2o_h2o,
stdev_Ts,cov_Ts_Ts,
cov_co2_Ux,cov_Ux_co2,
cov_h2o_Ux,cov_Ux_h2o,
cov_Ts_Ux,cov_Ux_Ts,
stdev_Ux,cov_Ux_Ux,
cov_co2_Uy,cov_Uy_co2,
cov_h2o_Uy,cov_Uy_h2o,
cov_Ts_Uy,cov_Uy_Ts,
stdev_Uy,cov_Uy_Uy,
cov_co2_Uz,cov_Uz_co2,
cov_h2o_Uz,cov_Uz_h2o,
cov_Ts_Uz,cov_Uz_Ts,
cov_Ux_Uz,cov_Uz_Ux,
cov_Uy_Uz,cov_Uz_Uy,
stdev_Uz,cov_Uz_Uz,
e_hmp_mean_Avg,e_Avg,
h2o_mean_Avg,h2o_Avg,
h2o_hmp_mean_Avg,h2o_hmp_Avg,
h2o_mm_m_Avg,h2o_m_mol_Avg,
Hc,Hs,
par_facedown_Avg,par_Avg_2,
par_faceup_Avg,par_Avg_1,
rho_a_mean_Avg,rho_a_Avg,
sig_lck_f_Tot,track_f_Tot,
low12V_5000_Tot,low12V_5000,
panelT_5000_in_Avg,panelT_5000_Avg,PanelT_5000_Avg
SWC_J1_10_Avg,SWC_J1_12p5_Avg,
SWC_J1_30_Avg,SWC_J1_32p5_Avg,
SWC_J1_5_Avg,SWC_J1_2p5_Avg,
SWC_J2_10_Avg,SWC_J2_12p5_Avg,
SWC_J2_30_Avg,SWC_J2_32p5_Avg,
SWC_J2_5_Avg,SWC_J2_2p5_Avg,
SWC_J3_10_Avg,SWC_J3_12p5_Avg,
SWC_J3_30_Avg,SWC_J3_32p5_Avg,
SWC_J3_5_Avg,SWC_J3_2p5_Avg,
SWC_O1_10_Avg,SWC_O1_12p5_Avg,
SWC_O1_30_Avg,SWC_O1_32p5_Avg,
SWC_O1_5_Avg,SWC_O1_2p5_Avg,
SWC_O2_10_Avg,SWC_O2_12p5_Avg,
SWC_O2_30_Avg,SWC_O2_32p5_Avg,
SWC_O2_5_Avg,SWC_O2_2p5_Avg,
SWC_O3_10_Avg,SWC_O3_12p5_Avg,
SWC_O3_30_Avg,SWC_O3_32p5_Avg,
SWC_O3_5_Avg,SWC_O3_2p5_Avg,
SoilT_03_30_Avg,SoilT_03_22p5_Avg,soilT_open_3_22p5
SoilT_J1_10_Avg,SoilT_J1_12p5_Avg,soilT_juniper_1_12p5
SoilT_J1_30_Avg,SoilT_J1_22p5_Avg,soilT_juniper_1_22p5
SoilT_J1_5_Avg,SoilT_J1_2p5_Avg,soilT_juniper_1_2p5
SoilT_J2_10_Avg,SoilT_J2_12p5_Avg,soilT_juniper_2_12p5
SoilT_J2_30_Avg,SoilT_J2_22p5_Avg,soilT_juniper_2_22p5
SoilT_J2_5_Avg,SoilT_J2_2p5_Avg,soilT_juniper_2_2p5
SoilT_J3_10_Avg,SoilT_J3_12p5_Avg,soilT_juniper_3_12p5
SoilT_J3_30_Avg,SoilT_J3_22p5_Avg,soilT_juniper_3_22p5
SoilT_J3_5_Avg,SoilT_J3_2p5_Avg,soilT_juniper_3_2p5
SoilT_O1_10_Avg,SoilT_O1_12p5_Avg,soilT_open_1_12p5
SoilT_O1_30_Avg,SoilT_O1_22p5_Avg,soilT_open_1_22p5
SoilT_O1_5_Avg,SoilT_O1_2p5_Avg,soilT_open_1_2p5
SoilT_O2_10_Avg,SoilT_O2_12p5_Avg,soilT_open_2_12p5
SoilT_O2_30_Avg,SoilT_O2_22p5_Avg,soilT_open_2_22p5
SoilT_O2_5_Avg,SoilT_O2_2p5_Avg,soilT_open_2_2p5
SoilT_O3_10_Avg,SoilT_O3_12p5_Avg,soilT_open_3_12p5
SoilT_O3_5_Avg,SoilT_O3_2p5_Avg,soilT_open_3_2p5
sap_J1a_Avg,sap_Avg_1,
sap_J1b_Avg,sap_Avg_2,
sap_J2a_Avg,sap_Avg_3,
sap_J2b_Avg,sap_Avg_4,
sap_J3a_Avg,sap_Avg_5,
sap_J3b_Avg,sap_Avg_6,
sap_J4a_Avg,sap_Avg_7,
sap_J4b_Avg,sap_Avg_8,
sap_J5a_Avg,sap_Avg_9,
sap_J5b_Avg,sap_Avg_10,
shf_j1_Avg,shf_juniper_east_Avg,juniper_east_Avg
shf_j2_Avg,shf_juniper_west_Avg,juniper_west_Avg
shf_o1_Avg,shf_open_north_Avg,open_north_Avg
shf_o2_Avg,shf_open_south_Avg,open_south_Avg
tcav_01_Avg,tcav_o1_Avg,
