current,TOA5_New_GLand_2013_12_19_1330,TOA5_New_GLand_2014_01_17_1600,TOA5_New_GLand_2014_05_08_1300,TOA5_New_GLand_2014_06_13_0830,TOA5_New_GLand_2014_06_13_1030
RH_Avg,RH,current,current,current,current
co2_mean_Avg,co2_Avg,current,current,current,current
co2_um_m_Avg,co2_u_mol_Avg,current,current,current,current
stdev_co2,cov_co2_co2,current,current,current,current
stdev_h2o,cov_h2o_h2o,current,current,current,current
stdev_Ts,cov_Ts_Ts,current,current,current,current
cov_co2_Ux,cov_Ux_co2,current,current,current,current
cov_h2o_Ux,cov_Ux_h2o,current,current,current,current
cov_Ts_Ux,cov_Ux_Ts,current,current,current,current
stdev_Ux,cov_Ux_Ux,current,current,current,current
cov_Ux_Uy,current,current,current,current,current
cov_co2_Uy,cov_Uy_co2,current,current,current,current
cov_h2o_Uy,cov_Uy_h2o,current,current,current,current
cov_Ts_Uy,cov_Uy_Ts,current,current,current,current
stdev_Uy,cov_Uy_Uy,current,current,current,current
cov_co2_Uz,cov_Uz_co2,current,current,current,current
cov_h2o_Uz,cov_Uz_h2o,current,current,current,current
cov_Ts_Uz,cov_Uz_Ts,current,current,current,current
cov_Ux_Uz,cov_Uz_Ux,current,current,current,current
cov_Uy_Uz,cov_Uz_Uy,current,current,current,current
stdev_Uz,cov_Uz_Uz,current,current,current,current
e_hmp_mean_Avg,e_Avg,current,current,current,current
h2o_mean_Avg,h2o_Avg,current,current,current,current
h2o_hmp_mean_Avg,h2o_hmp_Avg,current,current,current,current
h2o_mm_m_Avg,h2o_m_mol_Avg,current,current,current,current
Hc,Hs,current,current,current,current
par_facedown_Avg,par_upwelling_Avg,current,current,par_face_down_Avg,current
par_faceup_Avg,par_incoming_Avg,current,current,par_face_up_Avg,current
Rad_long_Dn__Avg,current,current,current,current,current
Rad_long_Up__Avg,current,current,current,current,current
rho_a_mean_Avg,rho_a_Avg,current,current,current,current
sig_lck_f_Tot,track_f_Tot,current,current,current,current
low12V_3000_Tot,dne,dne,dne,current,dne
panelT_3000_Avg,dne,dne,dne,current,dne
panelT_5000_in_Avg,panelT_5000_Avg,current,current,dne,current
SWC_G1_12p5_Avg,cs616SWC_grass_1_12p5,current,current,current,current
SWC_G1_22p5_Avg,cs616SWC_grass_1_22p5,current,current,current,current
SWC_G1_2p5_Avg,cs616SWC_grass_1_2p5,current,current,current,current
SWC_G1_37p5_Avg,cs616SWC_grass_1_37p5,current,current,current,current
SWC_G1_52p5_Avg,cs616SWC_grass_1_52p5,current,current,current,current
SWC_G2_12p5_Avg,cs616SWC_grass_2_12p5,current,current,current,current
SWC_G2_22p5_Avg,cs616SWC_grass_2_22p5,current,current,current,current
SWC_G2_2p5_Avg,cs616SWC_grass_2_2p5,current,current,current,current
SWC_G2_37p5_Avg,cs616SWC_grass_2_37p5,current,current,current,current
SWC_G2_52p5_Avg,cs616SWC_grass_2_52p5,current,current,current,current
SWC_O1_12p5_Avg,cs616SWC_open_1_12p5,current,current,current,current
SWC_O1_22p5_Avg,cs616SWC_open_1_22p5,current,current,current,current
SWC_O1_2p5_Avg,cs616SWC_open_1_2p5,current,current,current,current
SWC_O1_37p5_Avg,cs616SWC_open_1_37p5,current,current,current,current
SWC_O1_52p5_Avg,cs616SWC_open_1_52p5,current,current,current,current
SWC_O2_12p5_Avg,cs616SWC_open_2_12p5,current,current,current,current
SWC_O2_22p5_Avg,cs616SWC_open_2_22p5,current,current,current,current
SWC_O2_2p5_Avg,cs616SWC_open_2_2p5,current,current,current,current
SWC_O2_37p5_Avg,cs616SWC_open_2_37p5,current,current,current,current
SWC_O2_52p5_Avg,cs616SWC_open_2_52p5,current,current,current,current
Soil_CO2_G1_10_Avg,soil_co2_g1_10cm_Avg,current,current,current,current
Soil_CO2_G1_20_Avg,soil_co2_g1_20cm_Avg,current,dne,dne,dne
Soil_CO2_G1_5_Avg,soil_co2_g1_5cm_Avg,current,current,current,current
Soil_CO2_G1_60_Avg,soil_co2_g1_50cm_Avg,current,dne,dne,dne
Soil_CO2_G2_10_Avg,soil_co2_g2_10cm_Avg,current,current,current,current
Soil_CO2_G2_20_Avg,soil_co2_g2_20cm_Avg,current,dne,dne,dne
Soil_CO2_G2_5_Avg,soil_co2_g2_5cm_Avg,current,current,current,current
Soil_CO2_G2_60_Avg,soil_co2_g2_50cm_Avg,current,dne,dne,dne
Soil_CO2_G3_10_Avg,soil_co2_g3_10cm_Avg,current,current,current,current
Soil_CO2_G3_20_Avg,soil_co2_g3_20cm_Avg,current,dne,dne,dne
Soil_CO2_G3_5_Avg,soil_co2_g3_5cm_Avg,current,current,current,current
Soil_CO2_G3_60_Avg,soil_co2_g3_50cm_Avg,current,dne,dne,dne
shf_SHF_grass_1,SHF_grass_1,SHF_grass_1,SHF_grass_1,current,SHF_grass_1
shf_SHF_grass_2,SHF_grass_2,SHF_grass_2,SHF_grass_2,current,SHF_grass_2
shf_SHF_open_1,SHF_open_1,SHF_open_1,SHF_open_1,current,SHF_open_1
shf_SHF_open_2,SHF_open_2,SHF_open_2,SHF_open_2,current,SHF_open_2
TCAV_grass_2_1,TCAV_grass_1,TCAV_grass_1,TCAV_grass_1,current,TCAV_grass_1
TCAV_open_1_1,TCAV_open_1,TCAV_open_1,TCAV_open_1,current,TCAV_open_1
