current,previous1
AirTC_10_Avg,AirTC_Avg
AirTC_3p7_Avg,AirTC_2_Avg
co2_mean_Avg,co2_Avg
co2_um_m_Avg,co2_u_mol_Avg
stdev_co2,cov_co2_co2
stdev_h2o,cov_h2o_h2o
stdev_Ts,cov_Ts_Ts
cov_co2_Ux,cov_Ux_co2
cov_h2o_Ux,cov_Ux_h2o
cov_Ts_Ux,cov_Ux_Ts
stdev_Ux,cov_Ux_Ux
cov_co2_Uy,cov_Uy_co2
cov_h2o_Uy,cov_Uy_h2o
cov_Ts_Uy,cov_Uy_Ts
stdev_Uy,cov_Uy_Uy
cov_co2_Uz,cov_Uz_co2
cov_h2o_Uz,cov_Uz_h2o
cov_Ts_Uz,cov_Uz_Ts
cov_Ux_Uz,cov_Uz_Ux
cov_Uy_Uz,cov_Uz_Uy
stdev_Uz,cov_Uz_Uz
e_hmp_mean_Avg,e_Avg
h2o_mean_Avg,h2o_Avg
h2o_hmp_mean_Avg,h2o_hmp_Avg
h2o_mm_m_Avg,h2o_m_mol_Avg
Hc,
Hs,
par_facedown_Avg,par_down_Avg
par_faceup_Avg,par_up_Avg
Rad_long_Dn_Avg,Rad_long_Dn__Avg
Rad_long_Up_Avg,Rad_long_Up__Avg
RH_10_Avg,RH
RH_3p7_Avg,RH_2
rho_a_mean_Avg,rho_a_Avg
sig_lck_f_Tot,track_f_Tot
low12V_5000_Tot,low12V_5000
canopyE_IRT_Avg,canopy_IRT_Avg
CNR1TC_Avg,
