current,previous1,previous2,previous3,previous4
AirTC_6p85_Avg,t_hmp_Avg,AirTC_10_Avg
co2_mean_Avg,co2_Avg,
stdev_co2,cov_co2_co2,
stdev_h2o,cov_h2o_h2o,
stdev_Ts,cov_Ts_Ts,
cov_co2_Ux,cov_Ux_co2,
cov_h2o_Ux,cov_Ux_h2o,
cov_Ts_Ux,cov_Ux_Ts,
stdev_Ux,cov_Ux_Ux,
cov_co2_Uy,cov_Uy_co2,
cov_h2o_Uy,cov_Uy_h2o,
cov_Ts_Uy,cov_Uy_Ts,
stdev_Uy,cov_Uy_Uy,
cov_co2_Uz,cov_Uz_co2,
cov_h2o_Uz,cov_Uz_h2o,
cov_Ts_Uz,cov_Uz_Ts,
cov_Ux_Uz,cov_Uz_Ux,
cov_Uy_Uz,cov_Uz_Uy,
stdev_Uz,cov_Uz_Uz,
h2o_mean_Avg,h2o_Avg,
Hc,Hs,
par_facedown_Avg,par_down_Avg,
par_faceup_Avg,par_up_Avg,
rho_a_mean_Avg,rho_a_Avg,
sig_lck_f_Tot,track_f_Tot,
CG3UpCo_Avg,Rad_long_Up_TCor_Avg,
CG3DnCo_Avg,Rad_long_Dn_TCor_Avg,
NetRs_Avg,Rn_short_Avg,
NetRl_Avg,Rn_long_Avg,
NetTot_Avg,Rn_total_Avg,
Rad_long_Dn_Avg,Rad_long_Dn__Avg,Rad_long_Dn_Avg_1,Rad_long_Dn__Avg_1
Rad_long_Up_Avg,Rad_long_Up__Avg,Rad_long_Up_Avg_1,Rad_long_Up__Avg_1
CNR1TC_Avg,Temp_C_Avg,Temp_C_Avg_1
canopyE_IRT_Avg,canopy_IRT_Avg,
h2o_hmp_mean_Avg,h2o_hmp_Avg,
RH_6p85_Avg,rh_hmp_Avg,RH_10_Avg
