current,TOA5_PJ_girdle_2012_12_10_1530,TOA5_PJ_girdle_2013_07_03_1530,TOA5_PJ_girdle_2014_01_10_1530,TOA5_PJ_girdle_2014_03_26_1200
AirTC_6p85_Avg,t_hmp_Avg,t_hmp_Avg,AirTC_10_Avg,current
co2_mean_Avg,co2_Avg,co2_Avg,current,current
stdev_co2,cov_co2_co2,cov_co2_co2,current,current
stdev_h2o,cov_h2o_h2o,cov_h2o_h2o,current,current
stdev_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current
cov_co2_Ux,cov_Ux_co2,cov_Ux_co2,current,current
cov_h2o_Ux,cov_Ux_h2o,cov_Ux_h2o,current,current
cov_Ts_Ux,cov_Ux_Ts,cov_Ux_Ts,current,current
stdev_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current
cov_co2_Uy,cov_Uy_co2,cov_Uy_co2,current,current
cov_h2o_Uy,cov_Uy_h2o,cov_Uy_h2o,current,current
cov_Ts_Uy,cov_Uy_Ts,cov_Uy_Ts,current,current
stdev_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current
cov_co2_Uz,cov_Uz_co2,cov_Uz_co2,current,current
cov_h2o_Uz,cov_Uz_h2o,cov_Uz_h2o,current,current
cov_Ts_Uz,cov_Uz_Ts,cov_Uz_Ts,current,current
cov_Ux_Uz,cov_Uz_Ux,cov_Uz_Ux,current,current
cov_Uy_Uz,cov_Uz_Uy,cov_Uz_Uy,current,current
stdev_Uz,cov_Uz_Uz,cov_Uz_Uz,current,current
h2o_mean_Avg,h2o_Avg,h2o_Avg,current,current
Hc,Hs,Hs,current,current
par_facedown_Avg,par_down_Avg,par_down_Avg,current,current
par_faceup_Avg,par_up_Avg,par_up_Avg,current,current
rho_a_mean_Avg,rho_a_Avg,rho_a_Avg,current,current
sig_lck_f_Tot,track_f_Tot,track_f_Tot,current,current
CG3UpCo_Avg,Rad_long_Up_TCor_Avg,Rad_long_Up_TCor_Avg,current,current
CG3DnCo_Avg,Rad_long_Dn_TCor_Avg,Rad_long_Dn_TCor_Avg,current,current
NetRs_Avg,Rn_short_Avg,Rn_short_Avg,current,current
NetRl_Avg,Rn_long_Avg,Rn_long_Avg,current,current
NetTot_Avg,Rn_total_Avg,Rn_total_Avg,current,current
Rad_long_Dn_Avg,current,current,Rad_long_Dn__Avg,current
Rad_long_Up_Avg,current,current,Rad_long_Up__Avg,current
CNR1TC_Avg,Temp_C_Avg,Temp_C_Avg,current,current
canopyE_IRT_Avg,dne,canopy_IRT_Avg,canopy_IRT_Avg,current
h2o_hmp_mean_Avg,h2o_hmp_Avg,h2o_hmp_Avg,current,current
RH_6p85_Avg,H,H,RH_10_Avg,current
