CURRENT,2013_12_13,2014_01_10,2014_03_21,2014_03_26
AirTC_6p85_Avg,t_hmp_Avg,AirTC_10_Avg,AirTC_6p85_Avg,AirTC_6p85_Avg
co2_mean_Avg,co2_Avg,co2_mean_Avg,co2_mean_Avg,co2_mean_Avg
stdev_co2,cov_co2_co2,stdev_co2,stdev_co2,stdev_co2
stdev_h2o,cov_h2o_h2o,stdev_h2o,stdev_h2o,stdev_h2o
stdev_Ts,cov_Ts_Ts,stdev_Ts,stdev_Ts,stdev_Ts
cov_co2_Ux,cov_Ux_co2,cov_co2_Ux,cov_co2_Ux,cov_co2_Ux
cov_h2o_Ux,cov_Ux_h2o,cov_h2o_Ux,cov_h2o_Ux,cov_h2o_Ux
cov_Ts_Ux,cov_Ux_Ts,cov_Ts_Ux,cov_Ts_Ux,cov_Ts_Ux
stdev_Ux,cov_Ux_Ux,stdev_Ux,stdev_Ux,stdev_Ux
cov_Ux_Uy,cov_Ux_Uy,cov_Ux_Uy,cov_Ux_Uy,cov_Ux_Uy
cov_co2_Uy,cov_Uy_co2,cov_co2_Uy,cov_co2_Uy,cov_co2_Uy
cov_h2o_Uy,cov_Uy_h2o,cov_h2o_Uy,cov_h2o_Uy,cov_h2o_Uy
cov_Ts_Uy,cov_Uy_Ts,cov_Ts_Uy,cov_Ts_Uy,cov_Ts_Uy
stdev_Uy,cov_Uy_Uy,stdev_Uy,stdev_Uy,stdev_Uy
cov_co2_Uz,cov_Uz_co2,cov_co2_Uz,cov_co2_Uz,cov_co2_Uz
cov_h2o_Uz,cov_Uz_h2o,cov_h2o_Uz,cov_h2o_Uz,cov_h2o_Uz
cov_Ts_Uz,cov_Uz_Ts,cov_Ts_Uz,cov_Ts_Uz,cov_Ts_Uz
cov_Ux_Uz,cov_Uz_Ux,cov_Ux_Uz,cov_Ux_Uz,cov_Ux_Uz
cov_Uy_Uz,cov_Uz_Uy,cov_Uy_Uz,cov_Uy_Uz,cov_Uy_Uz
stdev_Uz,cov_Uz_Uz,stdev_Uz,stdev_Uz,stdev_Uz
h2o_mean_Avg,h2o_Avg,h2o_mean_Avg,h2o_mean_Avg,h2o_mean_Avg
Hc,Hs,Hc,Hc,Hc
par_facedown_Avg,par_down_Avg,par_facedown_Avg,par_facedown_Avg,par_facedown_Avg
par_faceup_Avg,par_up_Avg,par_faceup_Avg,par_faceup_Avg,par_faceup_Avg
rain_Tot,rain_Tot,rain_Tot,rain_Tot,rain_Tot
rho_a_mean_Avg,rho_a_Avg,rho_a_mean_Avg,rho_a_mean_Avg,rho_a_mean_Avg
sig_lck_f_Tot,track_f_Tot,sig_lck_f_Tot,sig_lck_f_Tot,sig_lck_f_Tot
CG3UpCo_Avg,Rad_long_Up_TCor_Avg,CG3UpCo_Avg,CG3UpCo_Avg,CG3UpCo_Avg
CG3DnCo_Avg,Rad_long_Dn_TCor_Avg,CG3DnCo_Avg,CG3DnCo_Avg,CG3DnCo_Avg
NetRs_Avg,Rn_short_Avg,NetRs_Avg,NetRs_Avg,NetRs_Avg
NetRl_Avg,Rn_long_Avg,NetRl_Avg,NetRl_Avg,NetRl_Avg
NetTot_Avg,Rn_total_Avg,NetTot_Avg,NetTot_Avg,NetTot_Avg
Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn__Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg
Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up__Avg,Rad_long_Up_Avg,Rad_long_Up_Avg
CNR1TC_Avg,Temp_C_Avg,CNR1TC_Avg,CNR1TC_Avg,CNR1TC_Avg
canopyE_IRT_Avg,canopy_IRT_Avg,canopy_IRT_Avg,canopyE_IRT_Avg,canopyE_IRT_Avg
h2o_hmp_mean_Avg,h2o_hmp_Avg,h2o_hmp_mean_Avg,h2o_hmp_mean_Avg,h2o_hmp_mean_Avg
RH_6p85_Avg,H,RH_10_Avg,RH_6p85_Avg,RH_6p85_Avg
