current,previous1,previous2
AirTC_1p5_Avg,,
AirTC_4p5_Avg,,
AirTC_8p75_Avg,,
AirTC_16_Avg,,
AirTC_24_Avg,,
RH_1p5_Avg,,
RH_4p5_Avg,,
RH_8p75_Avg,,
RH_16_Avg,,
RH_24_Avg,,
co2_mean_Avg,co2_Avg,
co2_um_m_Avg,co2_u_mol_Avg,
stdev_Ts,cov_Ts_Ts,
stdev_Ux,cov_Ux_Ux,
stdev_Uy,cov_Uy_Uy,
stdev_Uz,cov_Uz_Uz,
stdev_co2,cov_co2_co2,
stdev_h2o,cov_h2o_h2o,
cov_Ts_Ux,cov_Ux_Ts,
cov_Ts_Uy,cov_Uy_Ts,
cov_Ts_Uz,cov_Uz_Ts,
cov_Ux_Uz,cov_Uz_Ux,
cov_Uy_Uz,cov_Uz_Uy,
cov_co2_Ux,cov_Ux_co2,
cov_co2_Uy,cov_Uy_co2,
cov_co2_Uz,cov_Uz_co2,
cov_h2o_Ux,cov_Ux_h2o,
cov_h2o_Uy,cov_Uy_h2o,
cov_h2o_Uz,cov_Uz_h2o,
e_hmp_mean_Avg,e_Avg,
h2o_mean_Avg,h2o_Avg,
h2o_hmp_mean_Avg,h2o_hmp_Avg,
h2o_mm_m_Avg,h2o_m_mol_Avg,
Hc,Hs,
Rad_long_Dn_Avg,Rad_long_Dn__Avg,
Rad_long_Up_Avg,Rad_long_Up__Avg,
rho_a_mean_Avg,rho_a_Avg,
sig_lck_f_Tot,track_f_Tot,
low12V_5000_Tot,low12V_5000,
pit1_soilT_shf_2_Avg,T_shf_open_east_2cm_Avg,pit1_soilT_shf_2cm_Avg
pit1_soilT_shf_6_Avg,T_shf_open_east_6cm_Avg,pit1_soilT_shf_6cm_Avg
pit2_soilT_shf_2_Avg,T_shf_open_west_6cm_Avg,pit2_soilT_shf_2cm_Avg
pit2_soilT_shf_6_Avg,T_shf_open_west_2cm_Avg,pit2_soilT_shf_6cm_Avg
shf_p3_tree_Avg,shf_tree_Avg,T_shf_tree_Avg
sshf_p4_Hukesflux_Avg,shf_Hukesflux_Avg,
shf_p1_open_Avg,shf_open_pit1_Avg,
shf_p2_open_Avg,shf_open_pit2_Avg,
