current,previous1
AirTC_Avg,t_hmp_mean
RH_Avg,rh_hmp
co2_mean_Avg,co2_mean
stdev_co2,cov_co2_co2
stdev_h2o,cov_h2o_h2o
stdev_Ts,cov_Ts_Ts
cov_co2_Ux,cov_Ux_co2
cov_h2o_Ux,cov_Ux_h2o
cov_Ts_Ux,cov_Ux_Ts
stdev_Ux,cov_Ux_Ux
cov_Ux_Uy,cov_Uy_Ux
cov_co2_Uy,cov_Uy_co2
cov_h2o_Uy,cov_Uy_h2o
cov_Ts_Uy,cov_Uy_Ts
stdev_Uy,cov_Uy_Uy
cov_co2_Uz,cov_Uz_co2
cov_h2o_Uz,cov_Uz_h2o
cov_Ts_Uz,cov_Uz_Ts
cov_Ux_Uz,cov_Uz_Ux
cov_Uy_Uz,cov_Uz_Uy
stdev_Uz,cov_Uz_Uz
e_hmp_mean_Avg,e_Avg
h2o_mean_Avg,h2o_Avg
h2o_hmp_mean_Avg,h2o_hmp_Avg
h2o_mm_m_Avg,h2o_m_mol_Avg
Hc,Hs
par_face_down_Avg,par_upwelling_Avg
par_face_up_Avg,par_incoming_Avg
Rad_long_Dn__Avg,Rad_long_Dn_Avg
Rad_long_Up__Avg,Rad_long_Up_Avg
rho_a_mean_Avg,rho_a_Avg
sig_lck_f_Tot,track_f_Tot
SWC_O1_12p5_Avg,soil_h2o_o1_12p5_Avg
SWC_O1_22p5_Avg,soil_h2o_o1_22p5_Avg
SWC_O1_2p5_Avg,soil_h2o_o1_2p5_Avg
SWC_O1_37p5_Avg,soil_h2o_o1_37p5_Avg
SWC_O1_52p5_Avg,soil_h2o_o1_52p5_Avg
SWC_O2_12p5_Avg,soil_h2o_o2_12p5_Avg
SWC_O2_22p5_Avg,soil_h2o_o2_22p5_Avg
SWC_O2_2p5_Avg,soil_h2o_o2_2p5_Avg
SWC_O2_37p5_Avg,soil_h2o_o2_37p5_Avg
SWC_O2_52p5_Avg,soil_h2o_o2_52p5_Avg
SWC_S1_12p5_Avg,soil_h2o_s1_12p5_Avg
SWC_S1_22p5_Avg,soil_h2o_s1_22p5_Avg
SWC_S1_2p5_Avg,soil_h2o_s1_2p5_Avg
SWC_S1_37p5_Avg,soil_h2o_s1_37p5_Avg
SWC_S1_52p5_Avg,soil_h2o_s1_52p5_Avg
SWC_S2_12p5_Avg,soil_h2o_s2_12p5_Avg
SWC_S2_22p5_Avg,soil_h2o_s2_22p5_Avg
SWC_S2_2p5_Avg,soil_h2o_s2_2p5_Avg
SWC_S2_37p5_Avg,soil_h2o_s2_37p5_Avg
SWC_S2_52p5_Avg,soil_h2o_s2_52p5_Avg
SoilT_O1_12p5_Avg,soilt_O1_12p5_Avg
SoilT_O1_22p5_Avg,soilt_O1_22p5_Avg
SoilT_O1_2p5_Avg,soilt_O1_2p5_Avg
SoilT_O1_37p5_Avg,soilt_O1_37p5_Avg
SoilT_O1_52p5_Avg,soilt_O1_52p5_Avg
SoilT_O2_12p5_Avg,soilt_O2_12p5_Avg
SoilT_O2_22p5_Avg,soilt_O2_22p5_Avg
SoilT_O2_2p5_Avg,soilt_O2_2p5_Avg
SoilT_O2_37p5_Avg,soilt_O2_37p5_Avg
SoilT_O2_52p5_Avg,soilt_O2_52p5_Avg
SoilT_S1_12p5_Avg,soilt_S1_12p5_Avg
SoilT_S1_22p5_Avg,soilt_S1_22p5_Avg
SoilT_S1_2p5_Avg,soilt_S1_2p5_Avg
SoilT_S1_37p5_Avg,soilt_S1_37p5_Avg
SoilT_S1_52p5_Avg,soilt_S1_52p5_Avg
SoilT_S2_12p5_Avg,soilt_S2_12p5_Avg
SoilT_S2_22p5_Avg,soilt_S2_22p5_Avg
SoilT_S2_2p5_Avg,soilt_S2_2p5_Avg
SoilT_S2_37p5_Avg,soilt_S2_37p5_Avg
SoilT_S2_52p5_Avg,soilt_S2_52p5_Avg
Soil_CO2_S1_10_Avg,soil_co2_shrub1_10cm_Avg
Soil_CO2_S1_20_Avg,soil_co2_shrub1_20cm_Avg
Soil_CO2_S1_50_Avg,soil_co2_shrub1_50cm_Avg
Soil_CO2_S1_5_Avg,soil_co2_shrub1_5cm_Avg
Soil_CO2_S2_10_Avg,soil_co2_shrub2_10cm_Avg
Soil_CO2_S2_20_Avg,soil_co2_shrub2_20cm_Avg
Soil_CO2_S2_50_Avg,soil_co2_shrub2_50cm_Avg
Soil_CO2_S2_5_Avg,soil_co2_shrub2_5cm_Avg
Soil_CO2_S3_10_Avg,soil_co2_shrub3_10cm_Avg
Soil_CO2_S3_20_Avg,soil_co2_shrub3_20cm_Avg
Soil_CO2_S3_50_Avg,soil_co2_shrub3_50cm_Avg
Soil_CO2_S3_5_Avg,soil_co2_shrub3_5cm_Avg
