current,TOA5_SLand_2013_12_19_1230,TOA5_SLand_2014_01_17_1430,TOA5_SLand_2014_05_08_0830
AirTC_Avg,t_hmp_mean,current,current
RH_Avg,rh_hmp,current,current
co2_mean_Avg,co2_mean,current,current
stdev_co2,current,current,current
stdev_h2o,current,current,current
stdev_Ts,current,current,current
cov_co2_Ux,current,current,current
cov_h2o_Ux,current,current,current
cov_Ts_Ux,current,current,current
stdev_Ux,current,current,current
cov_Ux_Uy,current,current,current
cov_co2_Uy,current,current,current
cov_h2o_Uy,current,current,current
cov_Ts_Uy,current,current,current
stdev_Uy,current,current,current
cov_co2_Uz,current,current,current
cov_h2o_Uz,current,current,current
cov_Ts_Uz,current,current,current
cov_Ux_Uz,current,current,current
cov_Uy_Uz,current,current,current
stdev_Uz,current,current,current
e_hmp_mean_Avg,dne,current,current
h2o_mean_Avg,h2o_Avg,current,current
h2o_hmp_mean_Avg,dne,current,current
h2o_mm_m_Avg,current,current,current
Hc,,current,current
par_face_down_Avg,par_upwelling_Avg,current,current
par_face_up_Avg,par_incoming_Avg,current,current
Rad_long_Dn__Avg,Rad_long_Dn_Avg,current,current
Rad_long_Up__Avg,Rad_long_Up_Avg,current,current
rho_a_mean_Avg,dne,current,current
sig_lck_f_Tot,current,current,current
SWC_O1_12p5_Avg,soil_h2o_o1_12p5_Avg,current,current
SWC_O1_22p5_Avg,soil_h2o_o1_22p5_Avg,current,current
SWC_O1_2p5_Avg,soil_h2o_o1_2p5_Avg,current,current
SWC_O1_37p5_Avg,soil_h2o_o1_37p5_Avg,current,current
SWC_O1_52p5_Avg,soil_h2o_o1_52p5_Avg,current,current
SWC_O2_12p5_Avg,soil_h2o_o2_12p5_Avg,current,current
SWC_O2_22p5_Avg,soil_h2o_o2_22p5_Avg,current,current
SWC_O2_2p5_Avg,soil_h2o_o2_2p5_Avg,current,current
SWC_O2_37p5_Avg,soil_h2o_o2_37p5_Avg,current,current
SWC_O2_52p5_Avg,soil_h2o_o2_52p5_Avg,current,current
SWC_S1_12p5_Avg,soil_h2o_s1_12p5_Avg,current,current
SWC_S1_22p5_Avg,soil_h2o_s1_22p5_Avg,current,current
SWC_S1_2p5_Avg,soil_h2o_s1_2p5_Avg,current,current
SWC_S1_37p5_Avg,soil_h2o_s1_37p5_Avg,current,current
SWC_S1_52p5_Avg,soil_h2o_s1_52p5_Avg,current,current
SWC_S2_12p5_Avg,soil_h2o_s2_12p5_Avg,current,current
SWC_S2_22p5_Avg,soil_h2o_s2_22p5_Avg,current,current
SWC_S2_2p5_Avg,soil_h2o_s2_2p5_Avg,current,current
SWC_S2_37p5_Avg,soil_h2o_s2_37p5_Avg,current,current
SWC_S2_52p5_Avg,soil_h2o_s2_52p5_Avg,current,current
SoilT_O1_12p5_Avg,soilt_O1_12p5_Avg,current,current
SoilT_O1_22p5_Avg,soilt_O1_22p5_Avg,current,current
SoilT_O1_2p5_Avg,soilt_O1_2p5_Avg,current,current
SoilT_O1_37p5_Avg,soilt_O1_37p5_Avg,current,current
SoilT_O1_52p5_Avg,soilt_O1_52p5_Avg,current,current
SoilT_O2_12p5_Avg,soilt_O2_12p5_Avg,current,current
SoilT_O2_22p5_Avg,soilt_O2_22p5_Avg,current,current
SoilT_O2_2p5_Avg,soilt_O2_2p5_Avg,current,current
SoilT_O2_37p5_Avg,soilt_O2_37p5_Avg,current,current
SoilT_O2_52p5_Avg,soilt_O2_52p5_Avg,current,current
SoilT_S1_12p5_Avg,soilt_S1_12p5_Avg,current,current
SoilT_S1_22p5_Avg,soilt_S1_22p5_Avg,current,current
SoilT_S1_2p5_Avg,soilt_S1_2p5_Avg,current,current
SoilT_S1_37p5_Avg,soilt_S1_37p5_Avg,current,current
SoilT_S1_52p5_Avg,soilt_S1_52p5_Avg,current,current
SoilT_S2_12p5_Avg,soilt_S2_12p5_Avg,current,current
SoilT_S2_22p5_Avg,soilt_S2_22p5_Avg,current,current
SoilT_S2_2p5_Avg,soilt_S2_2p5_Avg,current,current
SoilT_S2_37p5_Avg,soilt_S2_37p5_Avg,current,current
SoilT_S2_52p5_Avg,soilt_S2_52p5_Avg,current,current
Soil_CO2_S1_10_Avg,soil_co2_shrub1_10cm_Avg,current,current
Soil_CO2_S1_20_Avg,soil_co2_shrub1_20cm_Avg,current,dne
Soil_CO2_S1_50_Avg,soil_co2_shrub1_50cm_Avg,current,dne
Soil_CO2_S1_5_Avg,soil_co2_shrub1_5cm_Avg,current,current
Soil_CO2_S2_10_Avg,soil_co2_shrub2_10cm_Avg,current,current
Soil_CO2_S2_20_Avg,soil_co2_shrub2_20cm_Avg,current,dne
Soil_CO2_S2_50_Avg,soil_co2_shrub2_50cm_Avg,current,dne
Soil_CO2_S2_5_Avg,soil_co2_shrub2_5cm_Avg,current,current
Soil_CO2_S3_10_Avg,soil_co2_shrub3_10cm_Avg,current,current
Soil_CO2_S3_20_Avg,soil_co2_shrub3_20cm_Avg,current,dne
Soil_CO2_S3_50_Avg,soil_co2_shrub3_50cm_Avg,current,dne
Soil_CO2_S3_5_Avg,soil_co2_shrub3_5cm_Avg,current,current
